관리번호(OBJECTID),국립공원관리번호(ID_CD),공원사무소코드(PO_CD),분류코드(CLASS_CD),일련번호(SEQNO),명칭_한글(KOR_NM),명칭_영어(ENG_NM),주소_지번(LNM_ADRES),주소_새주소(RDNMADR),전화번호(TELNO),야영동수(CMP_NUM),야영료징수여부(CMP_CHR),사용여부(USE_YN),고도(ELEVATION),경도(LONGITUDE),위도(LATITUDE),심볼코드(SYMBOL_CD)
15,10103030001,101,303,1,내원사자동차야영장,Naewonsa Camping Site,경상남도 산청군 삼장면 대포리 산106-2 일원,미변환 지번주소,055-972-7775,50,,1,193,127.8132131,35.2968749,G
16,10103020006,101,302,6,소막골야영장,Somakgol Camping Site,경상남도 산청군 삼장면 평촌리 산118-1 일원,경상남도 산청군 삼장면 평촌유평로 249-0,055-972-7775,39,,1,235,127.8163059,35.3503905,G
17,10103020004,101,302,4,대성교야영장,Daeseonggyo Camping Site,경상남도 하동군 화개면 대성리 917,경상남도 하동군 화개면 화개로 1282-2,000-0000-0000,20,,1,278,127.6528649,35.2781964,G
18,10103020003,101,302,3,백무동야영장,Baengmudong Camping Site,경상남도 함양군 마천면 강청리 148 일원,경상남도 함양군 마천면 백무동로 366-0,055-963-1260,100,,1,531,127.6794557,35.3586103,G
19,10103020001,101,302,1,중산리야영장,Jungsanri Camping Site,경상남도 산청군 시천면 중산리 634-4,경상남도 산청군 시천면 지리산대로 320-2,055-972-7785,53,,1,645,127.748269,35.3061459,G
20,50103020001,501,302,1,화양야영장,Hwayang Camping Site,충청북도 괴산군 청천면 후영리 492,충청북도 괴산군 청천면 화양로 733-38,000-0000-0000,0,,1,150,127.8053315,36.6823307,G
21,90103030001,901,303,1,소금강자동차야영장,Sogeumgang Auto Camping Site,강원 강릉시 연곡면 삼산리 87,미변환 지번주소,033-661-4161,250,1,1,238.8300018,128.7080979,37.8149125,G
22,110000000000,1101,303,1,몽산포자동차야영장,Mongsanpo Auto Camping Site,충남 태안군 남면 신장리 355-50,충청남도 태안군 남면 몽산포길 63-43,000-000-0000,100,1,1,5,126.2886074,36.6701333,G
23,110000000000,1101,303,2,학암포자동차야영장,Hakampo Auto Camping Site,충남 태안군 원북면 방갈리 515-79,충청남도 태안군 원북면 옥파로 1152-37,041-674-3224,70,1,1,5,126.2075213,36.8973965,G
24,120000000000,1202,302,1,신전야영장,Sinjeon Camping Site,전남 진도군 조로면 신육리 산121,미변환 지번주소,000-000-0000,50,0,1,7.559999943,126.0736157,34.2844169,G
25,120000000000,1202,302,2,시목야영장,Simok Camping Site,전남 신안군 도초면 오류리 965-2,미변환 지번주소,061-275-1339,50,0,1,3.75,125.948799,34.6731985,G
26,120000000000,1201,303,1,팔영산자동자야영장,Palyoungsan Car Camping Site,전남 고흥군 점암면 성기리 산132-4,전라남도 고흥군 점암면 팔봉길 19-51,061-835-7828,21,1,1,38.27999878,127.4176875,34.6361816,G
27,120000000000,1201,302,3,염포야영장,Yeompo Camping SiteYeompo Camping Site,전남 고흥군 봉래면 외초리 311,전라남도 고흥군 봉래면 우주로 3844,061-835-7828,30,0,1,35.99000168,127.4941801,34.4304566,G
28,120000000000,1202,302,4,관매도야영장2,Gwanmaedo Camping Site2,전남 진도군 조로면 관매도리 산106-2,미변환 지번주소,061-542-1330,40,0,1,31.46999931,126.050848,34.240613,G
29,120000000000,1202,302,5,관매도야영장1,Gwanmaedo Camping Site1,전남 진도군 조로면 관매도리 산106-2,미변환 지번주소,061-542-1330,20,0,1,29.96999931,126.052334,34.2410346,G
30,150000000000,1501,302,2,"구조대야영장10,11","Gujodae Camping Site 10,11",서울특별시 도봉구 도봉동 산31,서울특별시 도봉구 도봉산길 92-6 (도봉동),000-0000-0000,0,,1,408,127.0192435,37.6959604,G
31,150000000000,1501,302,3,구조대야영장09,Gujodae Camping Site 9,서울특별시 도봉구 도봉동 산31,서울특별시 도봉구 도봉산길 92-6 (도봉동),000-0000-0000,0,,1,407,127.0191028,37.6958333,G
32,150000000000,1502,302,1,석굴야영장,Seokgul Camping Site,서울특별시 도봉구 도봉동 산29-99,서울특별시 도봉구 도봉동 도봉산길 90-6,000-0000-0000,40,,1,420,127.0190705,37.6963829,G
33,150000000000,1501,302,1,인수야영장,Insu Camping Site,경기도 고양시 효자동 산19-1,미변환 지번주소,000-0000-0000,120,,1,462,126.9850519,37.6616949,G
34,170000000000,1701,302,1,천황야영장,Cheonhwang Camping Site,전남 영암군 영암읍 개신리 466-1,전라남도 영암군 영암읍 천황사로 280-73,061-471-7614,46,1,1,216.0399933,126.7197912,34.7736469,G
35,170000000000,1701,302,2,경포대야영장,Gyeongpodae Camping Site,전남 강진군 성전면 월남리 산194,미변환 지번주소,000-000-0000,35,1,1,107.4300003,126.7086776,34.7505209,G
36,30103030001,301,303,1,학동자동차야영장,Hakdong Auto Campsite,경상남도 거제시 동부면 학동리 224,,,222,1,1,36.75999832,128.6422729,34.7772217,G
37,60203020001,602,302,1,가인야영장,Gain Camping Site,전라남도 장성군 북하면 약수리 108,미변환 지번주소,061-392-7288,100,1,1,126,126.8801868,35.4319684,G
38,60103020001,601,302,1,내장야영장,Naejang Camping Site,전라북도 정읍시 내장동 92-2,미변환 지번주소,063-538-7875,50,1,1,127,126.9183098,35.4975479,G
39,70103020001,701,302,1,백운동야영장,Baegundong Campsite,경북 성주군 수륜면 백운리 1833-2,,054-932-3999,60,1,1,582.8499756,128.1420833,35.8046603,G
40,70103020002,701,302,2,용문야영장,Yongmun Campsite,경남 합천군 가야면 치인리 산20,,055-930-8000,100,1,1,575,128.0857686,35.793834,G
41,70103020003,701,302,3,용문야영장,Yongmun Campsite,경남 합천군 가야면 치인리 산20,,055-930-8000,100,1,1,580,128.0849315,35.7943696,G
42,70103020004,701,302,4,치인야영장,Chiin Campsite,경남 합천군 가야면 치인리 산16-1,경남 합천군 가야면 가야산로 1645-8,055-930-8000,30,1,1,620,128.0796531,35.7958916,G
43,70103020005,701,302,5,삼정야영장,Samjung Campsite,경남 합천군 가야면 치인리 산16-1,경남 합천군 가야면 가야산로 1645-8,055-930-8000,60,1,1,635,128.076871,35.7945771,G
44,80103020001,801,302,1,덕유대야영장,Deogyudae Camping Site,전라북도 무주군 설천면 삼공리 산60-5 일원,전라북도 무주군 설천면 백년사길 2-0,000-0000-0000,4000,1,1,673,127.7749409,35.8912975,G
45,130000000000,1301,302,1,금대야영장,Daegok Camping Site,강원도 원주시 판부면 금대리 1333-4,강원도 원주시 판부면 영원산성길 372,033-763-5232,60,1,1,357,128.0186915,37.2939915,G
46,130000000000,1301,302,2,대곡야영장,Geumdae Camping Site,강원도 원주시 소초면 학곡리 1044-2,미변환 지번주소,033-731-1289,90,1,1,365,128.0520759,37.3960096,G
47,130000000000,1301,302,3,구룡야영장,Guryong Camping Site,강원도 원주시 소초면 학곡리 920,미변환 지번주소,033-732-5231,100,1,1,311,128.0459301,37.4086642,G
48,140000000000,1401,302,1,송계자동차야영장,Songgye Auto Campsite,충북 제천시 한수면 송계리 1172-8,충청북도 제천시 한수면 미륵송계로 1625,043-653-3250,75,1,1,189.2400055,128.0784281,36.8848551,G
49,140000000000,1401,302,2,용하야영장,Yongha Campsite,충북 제천시 덕산면 월악리 산1-52,,043-653-3257,80,1,1,315.5799866,128.162954,36.8573128,G
50,140000000000,1401,302,3,덕주야영장1,Deokju Campsite,충북 제천시 한수면 송계리 135,,043-653-3250,200,1,1,228.7899933,128.0879189,36.8672638,G
51,140000000000,1401,302,4,덕주야영장2,Deokju Campsite,충북 제천시 한수면 송계리 135,,043-653-3250,200,1,1,286.9599915,128.0877177,36.865444,G
52,140000000000,1401,302,5,닷돈재야영장1,Datdonjae Campsite,충북 충주시 수안보면 미륵리 174,,043-653-3250,200,1,1,296.0599976,128.0933069,36.8439434,G
53,140000000000,1401,302,6,닷돈재야영장2,Datdonjae Campsite,충북 충주시 수안보면 미륵리 174,,043-653-3250,200,1,1,293.3299866,128.0925595,36.8446684,G
54,180000000000,1801,302,1,고사포야영장,Gosapo Campsite,전북 부안군 변산면 운산리 441-11,,063-583-2054,479,1,1,24.84000015,126.507005,35.6608236,G
